iter	Logloss
0	0.5490367868
1	0.4845030357
2	0.4540463494
3	0.4386351157
4	0.4298767952
5	0.4257376648
6	0.4221212859
7	0.4193699587
8	0.4179013023
9	0.4158709448
10	0.4145837164
11	0.4126070261
12	0.411166055
13	0.4093830285
14	0.4084703928
15	0.4074333759
16	0.4066143706
17	0.4060577884
18	0.4055319622
19	0.4046491403
20	0.4040866619
21	0.4030947483
22	0.4026714311
23	0.4019989989
24	0.4012868794
25	0.3998886536
26	0.399055108
27	0.3981748683
28	0.3970728201
29	0.3959651413
30	0.3956239027
31	0.3951333575
32	0.3940397629
33	0.393050375
34	0.3923824909
35	0.3913087151
36	0.3903333404
37	0.3893952674
38	0.388676153
39	0.3881181081
40	0.3868743882
41	0.3860339285
42	0.3852252961
43	0.3837145308
44	0.3825873991
45	0.3818851408
46	0.3806599435
47	0.3799053554
48	0.3790672832
49	0.3781815613
50	0.3775877499
51	0.3764741744
52	0.3757927163
53	0.3750025238
54	0.3740812068
55	0.373101684
56	0.3724812248
57	0.3719416997
58	0.3707829191
59	0.3697445644
60	0.3687073442
61	0.3677782653
62	0.3666241876
63	0.3657085762
64	0.3647428711
65	0.3641340232
66	0.3631312885
67	0.362236444
68	0.3616555147
69	0.3606256737
70	0.359627449
71	0.3589135034
72	0.3580935292
73	0.3570721646
74	0.3558450513
75	0.3553237332
76	0.354886382
77	0.3539611533
78	0.3528471748
79	0.3519118343
80	0.3508713208
81	0.3502956583
82	0.3499713905
83	0.3490354846
84	0.348486634
85	0.3480888743
86	0.3472952095
87	0.3465756558
88	0.3460130037
89	0.3451995837
90	0.3444386726
91	0.3437117011
92	0.3427526161
93	0.3420547555
94	0.3413585967
95	0.3405379652
96	0.3398460043
97	0.3396051672
98	0.3390254367
99	0.3383720456
