iter	Passed	Remaining
0	61	6107
1	65	3232
2	69	2252
3	73	1764
4	77	1466
5	80	1264
6	83	1115
7	87	1005
8	90	919
9	94	850
10	97	792
11	101	743
12	104	700
13	108	665
14	111	633
15	115	607
16	119	582
17	122	558
18	125	537
19	129	517
20	133	500
21	136	484
22	140	469
23	144	456
24	147	443
25	151	431
26	155	419
27	159	409
28	163	399
29	166	388
30	170	378
31	173	369
32	177	360
33	181	352
34	184	343
35	188	334
36	192	327
37	195	319
38	199	311
39	203	304
40	206	297
41	210	291
42	214	284
43	218	277
44	222	271
45	226	265
46	229	259
47	233	253
48	237	247
49	241	241
50	245	235
51	248	229
52	252	224
53	256	218
54	260	213
55	264	208
56	268	202
57	272	197
58	276	192
59	280	186
60	284	181
61	288	176
62	292	171
63	295	166
64	299	161
65	303	156
66	307	151
67	311	146
68	314	141
69	318	136
70	322	131
71	326	127
72	330	122
73	334	117
74	338	112
75	342	108
76	346	103
77	350	98
78	353	94
79	357	89
80	361	84
81	365	80
82	369	75
83	373	71
84	377	66
85	381	62
86	386	57
87	389	53
88	393	48
89	397	44
90	401	39
91	405	35
92	409	30
93	413	26
94	417	21
95	421	17
96	425	13
97	429	8
98	433	4
99	437	0
